textid	text	condition	label
29	LOL! TRUMP SUPPORTERS Sing “Hey, Hey, Hey Good Bye!” As They Send Antifa, Soros-Paid Democrats In Berkeley Back To Parent’s Basements [VIDEO]	news	1
30	HILARIOUS! TRUMP SUPPORTER Uses Berkeley Riot To Brilliantly Mock Pepsi’s “Protesting Is Fun” Ad Campaign	news	1
31	NO POLICE IN SIGHT: Large Group Of Masked Antifa Cowards Take On Trump Supporters In Berkeley…CHAOS ERUPTS [VIDEO]	news	1
32	DOUBLE AMPUTEE VET Blasts Obama’s War Strategy…Saw Him As “Expendable”…Explains Why He Wishes He Was Fighting Under President Trump [VIDEO]	news	1
33	LIBERAL MEDIA IGNORES MELANIA’S Visit To Home For Abused Girls…Proving They Really Don’t Care Much About Actual Women’s Issues After All	news	1
34	HOLY MOLY! Rebel Media Uncovers ILLEGAL USA-Canada “Fake Refugee” Trafficking Ring…Wait Until You See Who’s Vetting Them! [VIDEO]	news	1
35	YIKES! JUST WHEN Everyone Thought Things Couldn’t Get Much Worse For United Airlines…THIS Happened	news	1
36	TUCKER CARLSON: Why Brutal MS-13 Gang (Obama’s “Undocumented Children”) Is Far Greater Threat Than ISIS [VIDEO]	news	1
37	LIBERAL LUNATIC CHRIS MATTHEWS Scolded By Piers Morgan for Trashing Trump Family [Video]	news	1
38	NFL PLAYER Delivers Courageous Message: Stop Blaming White People…Black People Are Holding Black People Back	news	1
39	TWITTER Posts Hilarious Images After Announcement That It’s NOW ILLEGAL To Post Images Of Putin As “Gay”	news	1
40	DISNEY SELLS Disgusting New Book Teaching “Liberal and Progressive” Thought…Targets 0-2 Yr Old Babies	news	1
41	BREAKING: EMERGENCY Room Doctor In Dearborn, MI Hospital Arrested, Charged With Genital Mutilation Of 6-8 Yr Old Girls [VIDEO]	news	1
42	SWEDISH CITIZENS Get DISTURBING News About Likely Punishment For ASYLUM SEEKERS Who Live-Streamed RAPE Of Swedish Girl On Facebook	news	1
43	LIBERAL Lansing, MI Mayor Forced To REMOVE “Sanctuary City” Status After MI Residents Hammer Him For Arrogant Announcement On Tucker Carlson [VIDEO]	news	1
44	FUTURE SNOWFLAKE ALERT! Little Girl Gets Birthday Wish: A Poop-Themed Birthday Party	news	1
45	OUCH! NEW BOOK Takes Readers Inside Hillary’s Nasty Campaign: Self-Righteous Hillary Was ‘so mad she couldn’t think straight’…Attacked Her Aides…Focused Too Much On Black Voters…Bill Gave Aides An “Ass-Chewing”	news	1
46	NEW VIDEO Of United Airlines Passenger Emerges: “I won’t go…You can drag me, I’m not going…I’m staying right here…I tell you…make a lawsuit against United Airlines”	news	1
47	BILL O’REILLY ANNOUNCES 2 Week Vacation…Will Murdoch’s Liberal Son Who Pushed To Fire Roger Ailes Make His Vacation Permanent? [VIDEO]	news	1
48	BORDER PATROL UNION PRESIDENT Blasts Paul Ryan For Delay On Border Wall Funds [Video]	news	1
49	OOPS! DOCTOR DRAGGED Off United Airlines Flight Has Dark History [VIDEO]	news	1
50	MELANIA WINS HUGE SETTLEMENT FROM TABLOID Over Fake And “Embarrassing Claims”	news	1
51	FIRST PERSON TO BE KILLED By Terrorist In Speeding Truck Was Activist Who Helped Refugees Like The One Who Killed Her Stay In Sweden	news	1
52	OBAMA SIDEKICK VALERIE JARRETT In Hot Water Over Speaking Fee At Broke Public University	news	1
53	MARYLAND COUNCILWOMAN Who Struggles To Formulate Coherent Sentence Calls Trump “RETARDED”…Compares Him To Kids At Disability Center [VIDEO]	news	1
54	TUCKER CARLSON Shocked At Lawyer’s Delusion On Rejection Of Voter ID Law In Texas [Video]	news	1
55	TIME TO GO? 84-Yr Old Supreme Court Justice Ginsberg Tells College Audience 3-Term Male U.S. Senator Is A Female [VIDEO]	news	1
56	HELLO UNITED AIR LINES! Delta Just Paid A Woman $11K Not To Fly Last Weekend [Video]	news	1
57	OOPS! GOP Governor Who Called For Trump To “Step Aside” After Taped Sexual Remarks FORCED TO RESIGN After Embarrassing Audio Tape Proves Involvement In Sex Scandal	news	1
58	DISGUSTING! SEATTLE MAYOR WHO Announced He’s Suing Trump Over Sanctuary City Exec Order Is Accused Of Raping 15-Yr Old Boy, Two Others	news	1
59	SORE LOSER, WAR-HAWK John McCain Blames President Trump For Syrian Chemical Attack [VIDEO]	news	1
60	MSNBC PINHEAD HOST Threatens FOX’S Bill O’Reilly: “Come and sue me…I dare you” [Video]	news	1
61	CAMPING NIGHTMARE: Machete Wielding Refugee Drags 23-Yr Old Woman From Tent…Forces Boyfriend To Watch The Unthinkable	news	1
62	HOW GORSUCH Will Have Immediate Effect On Historic 2nd Amendment Decision And These Significant Controversial Cases	news	1
63	SUBWAY RIDER ATTACKED With Hammer For Asking Passenger To Stop ‘MAN-SPREADING’	news	1
64	PAUL JOSEPH WATSON Is Not Happy About The Air Strike On Syria…Here’s Why [VIDEO]	news	1
65	WATCH CRAZED LEFTIES PROTESTING TRUMP Shut Down Syrian Refugee Who Disagrees [Video]	news	1
66	PRESIDENT TRUMP’S Sr. Staff Member Omarosa Manigault Marries Democrat Pastor At Trump’s DC Hotel Amid Death Threats [VIDEO]	news	1
67	BREAKING WIKILEAKS BOMBSHELL! Murdered DNC Staffer Seth Rich Was DNC LEAKER: “He Was My Whistleblower”	news	1
68	WOW! FBI SUED Over Andrew Breitbart Records Request…What Are They Withholding?	news	1
69	WHY DEMOCRATS Can Thank HARRY REID For Replacing Justice Scalia With Neil Gorsuch [VIDEO]	news	1
70	“GODFATHER OF FAKE NEWS” Brian Williams Calls Syrian Airstrikes “Beautiful”…Instantly Gets DESTROYED On Twitter	news	1
71	YIKES! Hillary Still Needs Help Walking On Stage…Walks Gingerly To Microphone [VIDEO]	news	1
72	WATCH TUCKER CARLSON Scorch Sanctuary City Mayor: “Don’t you believe in laws?” [Video]	news	1
73	PARIS NIGHTMARE: MUSLIM MAN Scales Wall Of Apartment…Stabs Jewish Woman…What He Does Next Is Unthinkable! [VIDEO]	news	1
74	LEAKED DOCUMENTS Show How This American Citizen Works To Affect Outcomes Of Elections Around The World	news	1
75	JUST IN TIME FOR RE-ELECTION…Angela Merkel’s Cabinet Agrees To Bill Designed To “Stop Fake-News” Or Suppress Truth About Rampant Sexual Assault By Refugees?	news	1
76	MAID SCREAMS, BEGS FOR HELP As She Holds On To Window Of High-Rise Apartment By One Knuckle…Boss Films Her Fall [VIDEO]	news	1
77	BRITAIN’S THERESA MAY Refuses To Wear Headscarf On Saudi Arabia Visit…Media Compares Her Bravery To Hillary, Michelle Obama…But We Have Pictures That Tell A Different Story	news	1
78	BLACK WOMAN ATTACKS Man, His Car, Boat With Hammer…Spits In Wife’s Face: “I’m sick of fancy white people” [VIDEO]	news	1
79	MUSLIM TEEN Who Wrote 3 Radical Words Over And Over Again On College Application Has Been ACCEPTED To Prestigious Stanford University	news	1
80	BODY LANGUAGE EXPERT Gives Clear Examples Of Susan Rice Lying About Trump Surveillance During Interview [VIDEO]	news	1
81	CHER HUMILIATES Democrats Over Childish Neil Gorsuch “Tantrums” In One BRUTAL Tweet	news	1
82	WHICH IS IT? DID SUSAN RICE Lie to Andrea Mitchell or Judy Woodruff Two Weeks Ago? [Video]	news	1
83	FLASHBACK VIDEO Shows Leftist Media Members Praising Use Of “Nuclear Option” To Confirm (LIBERAL) Supreme Court Justices	news	1
84	LOL! CNN Host Don Lemon Tells Viewers: “We will not insult your intelligence” By Reporting On Susan Rice Spying Scandal [VIDEO]	news	1
85	BREAKING NEWS: Susan Rice ADMITS To Unmasking “US Persons” During Interview With MSNBC Media Ally Andrea Mitchell [VIDEO]	news	1
86	HERE’S THE BEST WAY To Silence A Liberal Demanding The Impeachment Of President Trump	news	1
87	BARACK OBAMA’S NSA Susan Rice Ordered Spies To Provide “Detailed Spreadsheets” Of Trump Calls…”That’s A Felony”…Brother Of CBS News President Also Involved [VIDEO]	news	1
88	WATCH SUSAN RICE Lie About Spying On Trump: “I know nothing about this”…White House Computer Logs Say She’s Lying! [Video]	news	1
89	NY Teacher Gives Assignment To High School Kids: Come Up With Argument In Favor Of Mass Killings Of Jews	news	1
90	WATCH: HILARIOUS Video Proves CNN Doesn’t Even Bother To Verify Identity Of “Expert” Guests…Interviews FAKE Police Chief	news	1
91	THE BENGHAZI LIARS Are Back: Susan Rice And Adam Schiff Are Once Again Caught In Another Huge Scandal…Only This Time Their Target Is President Trump [VIDEO]	news	1
92	MARINE VETERAN’S American Flag Set On Fire…In His Own Driveway [Video]	news	1
93	THE OBAMA LEGACY: Worst Economic Growth Of All 13 Post-WWII Presidents [VIDEO]	news	1
94	NOT SO “Funny Guys” Carl Reiner And “Meathead” Son “Feel Sorry For Obama” After “Racist” Americans Elected President Trump [VIDEO]	news	1
95	TOUGH TEXAS MAYOR Who Fought Back Against Implementation Of Sharia Law In Her City Will Join Trump Team [VIDEO]	news	1
96	BREAKING: A Third Democrat Senator To Vote For Supreme Court Nominee Neil Gorsuch	news	1
97	PROFESSOR Gives Instruction For What’s Acceptable After Mass Migration And Conquering Of A Nation [Video]	news	1
98	SHOCKER: Public School Turns Computer Lab Into Mosque…Bars Non-Muslim Students [Video]	news	1
99	CAMPUS CRAZINESS: Student’s Grade Goes Down For Using The Word “Mankind” [Video]	news	1
100	FIRED! #NeverTrumper, Close Friend Of Reince Preibus, White House Deputy-Chief-Of-Staff Katie Walsh OUTED As Leaker	news	1
101	TUCKER CARLSON EMBARRASSES Liberal Professor Who Said He “Wanted To Vomit” After Passenger Gave Up 1st Class Seat To U.S. Soldier [VIDEO]	news	1
102	MICHAEL FLYNN’S LAWYER Releases Statement Scorching “Highly Politicized Witch Hunt”	news	1
103	VICE PRESIDENT PENCE BREAKS TIE In Bill Allowing States To Deny Federal Funds For Killing Babies	news	1
104	TWO NEW JERSEY MOMS Attacked By Community For Exposing Islamic Indoctrination In Middle School…Thomas More Law Center Steps Up To Defend Them [VIDEO]	news	1
105	BOMBSHELL: COMEY Wanted To Expose Russian Meddling Months Before Election…OBAMA Regime Barred Him From Telling Public [VIDEO]	news	1
106	PUTIN Steals Famous President Bush Quote In Forceful Denial Of Russian Interference In U.S. Elections…Makes Surprising Announcement About Relations With U.S.	news	1
107	JUDICIAL WATCH Email Release Shows Huma Was Asked To Plan “Healthy” Hillary’s Funeral	news	1
108	OBAMA’S Defense Deputy ACCIDENTALLY ADMITS Obama White House Spied On Candidate Trump During MSNBC Interview…But WAIT…There’s Even MORE To This Story! [VIDEO]	news	1
109	BEAUTIFUL MELANIA WEARS LBD TO HOST Reception for Senators…Guess Who Was There Wearing A Smirk On His Face? [Video]	news	1
110	5-YEAR OLD SUSPENDED FROM SCHOOL For Playing With ‘Stick Gun’…Said She ‘Posed A Threat’	news	1
111	LOL! DEM Senator Dick Durbin Voted To Confirm Circuit Judge Gorsuch In 2006…Tells CNN Host “He Can’t Remember” How He Voted [VIDEO]	news	1
112	YOUNG WOMAN Pleads With President Trump To Keep Talking About Muslim Invaders [VIDEO]	news	1
113	SEAN SPICER CALLS OUT Race Baiting Journalist: “Stop Shaking Your Head Again” [Video]	news	1
114	MSNBC’s CHRIS MATTHEWS Compares Ivanka Trump, Jared Kushner To Saddam Hussein’s Murderous, Rapist Sons…”Couldn’t Have Eye Contact With Them Without Getting Killed” [VIDEO]	news	1
115	NEW LOW: NYT’s And CBS Used FAKE NEWS To Smear Wounded Warrior Project…Triple Amputee Vet And Freedom Daily Expose Them	news	1
116	YOUNG DANISH COUPLE BEATEN, Woman Punched In Head, After “ETHNIC” Gang Attacked Them For Eating Pork On Pizza	news	1
117	60 Minutes Uses “Fake News” Story To Destroy Credibility Of Popular Conservative Twitter Personality For Suggesting Hillary Had Parkinson’s [VIDEO]	news	1
118	BOOM! SHAREHOLDER Confronts Liberal Starbucks CEO Over Damage To Stock Value After Saying He’ll Hire 10,000 Refugees…Questioned Why Schultz Ignored Obama’s Travel Ban [VIDEO]	news	1
119	FORMER OBAMA SPOKESLIAR To Join NBC As Paid Fake News Host…We’ve Got A Few Clips Of His Best Lies To The Press [VIDEO]	news	1
120	UNREAL! CBS’S TED KOPPEL Tells Sean Hannity He’s “Bad for America” [Video]	news	1
121	WATCH DINESH D’SOUZA’S GREAT COMEBACK To A Student Who Called Him A “Hack” [Video]	news	1
122	THE HORRIBLE END GAME: BERNIE SANDERS Calls for Socialized Medicine aka Single-Payer Healthcare [Video]	news	1
123	EXCLUSIVE: “AMERICA 2021” Hilarious Poem Describes What America Looks Like After 4 Years Of President Trump	news	1
124	TWO PICTURES Perfectly Illustrate The Difference Between Obama’s Lawless America And Trump’s Law-And-Order America	news	1
125	AFGHANISTAN AMBASSADOR Was Delightfully Shocked After Meeting With President Trump: Asked 3 Important Questions Obama Never Did [VIDEO]	news	1
126	DONALD TRUMP JR. WRECKS “Fake Indian” Elizabeth Warren On Twitter…Conservatives Cheer!	news	1
127	OBAMACARE AND THE FORGOTTEN FAMILY: A Tale Of How The Middle Class Was Royally Scr*wed By Washington [Video]	news	1
128	COP LAUNCHES BIKE AT ANTI-TRUMP TERRORIST In Philadelphia, As Masked Antifa Cowards Wage War On Trump Supporters [VIDEO]	news	1
129	ANTI-TRUMP ANARCHISTS Attack Pro-Trump Rally Participants…Trump Supporters Fight Back! [Video]	news	1
130	LAWYER FOR ILLEGAL ALIEN RAPISTS: “Hysteria” Over Rape of 14-Year Old Caused by Trump [Video]	news	1
131	OUTRAGEOUS! NANCY PELOSI Claims Obamacare Honors “Vision of Our Founders” [Video]	news	1
132	INTEL WHISTLEBLOWER: Trump was likely spied on for some time…too easy for Americans to be spied on [Video]	news	1
133	SHOCKING REPORT: 50% of Babies in 24 States Born via Medicaid…Is Your State on the List?	news	1
134	KARMA! Did Meryl Streep’s Anti-Trump Rant At Golden Globes Cost Her Dream Role In Hillary Movie?	news	1
135	THIS ISN’T OBAMA’S AMERICA ANYMORE! Women’s March Leader, Convicted Palestinian Terrorist STRIPPED Of U.S. Citizenship…Will Be DEPORTED	news	1
136	SARA CARTER AND JAY SEKULOW With The Latest On Obama Spying On Trump: “I think this goes to the highest levels of the Obama administration” [Video]	news	1
137	BREAKING: HOUSE INTEL TO PRODUCE “SMOKING GUN” Showing Obama Administration Spied On Trump Transition Team	news	1
138	FAKE CNN and MSNBC Caught Claiming “LIVE” Guest…But They Aired at the Same Time [Video]	news	1
139	FOUR-TIME DEPORTED ILLEGAL ALIEN Gang Member Sexually Assaults 2-Yr Old Girl In Front Of 4-Yr Old Brother…Violently Stabs Mother, Another Woman	news	1
140	SEAN SPICER HITS LAME CNN: “Let’s actually look at what CNN reported.” [Video]	news	1
141	What Neighbor Said About MUSLIM MAN ID’d As London Terrorist Speaks Volumes About The Danger Of “Islamic Non-Assimilation” [VIDEO]	news	1
142	COPYCAT MUSLIM TERRORIST ARRESTED With Assault Weapons, Knives Drives Into Busy Shopping Area At High Speed [VIDEO]	news	1
143	THE CARNAGE AND THE KINDNESS Of Good Samaritans After London Terror Attack [VIDEO]	news	1
144	ONE HILARIOUS TWEET Perfectly Sums Up How Irrelevant CNN Has Become	news	1
145	BRILLIANT! TUCKER CARLSON and AYAAN HIRSI ALI Discuss Terrorism and Trump’s Travel Order: He’s right about the danger of radical Islam [Video]	news	1
146	BRITAIN’S ISLAMIC REALIST Tommy Robinson Tears Into Leftist Reporter: “50,000 British Muslims Downloaded A Terrorist Magazine Last Year…These People Are Waging War On Us!” [VIDEO]	news	1
147	WOW! HOUSE INTELLIGENCE Chair CONFIRMS Trump Was Correct…Trump Transition Team WAS Surveilled By Obama [VIDEO]	news	1
148	CROOKED HILLARY’S Campaign Manager Won’t Rule Out 2020 Run For President…She’s Focused On Tackling Worldwide Challenges Right Now…LOL!	news	1
149	Homepage	news	1
150	“FORMER BLEEDING HEART LIBERAL”: Shocked Parents Speak Out About Rape of 14-Year Old By Obama’s ‘Dreamer’: “This changed my attitude about a lot of things, as a former bleeding heart liberal” [Video]	news	1
151	WHICH ONE OF THESE PEOPLE Tried to Lecture the Other on the Constitution….Guesses? [VIDEO]	news	1
152	IVANKA TRUMP BRAND SUED After Massive Sales Surge…Restraining Order Requested To Prevent Sales In State Of CA	news	1
153	TOM HANKS TO JOIN Hollywood Liberals In Facebook Live Fundraiser For Fight Against Trump Agenda	news	1
154	PROFESSOR Who Called Election Of President Trump An “Act of Terrorism” Is Chosen For “Professor Of The Year” [VIDEO]	news	1
155	BREAKING: ELECTRONICS BANNED on Some U.S. Flights From Middle East…List of 9 Airlines and Airports Affected	news	1
156	WATCH: KIM JONG-UN Blows Up US Aircraft Carrier In Newly Released Video	news	1
157	WELL, DUH! Transgender Wins International Women’s Weightlifting Title	news	1
158	DISTURBING: Tomi Lahren Panders To “The View” Hags, Says She’s Always Been “Pro-Choice”…OOPS!…Video Emerges Of Lahren Calling Pro-Choicer’s “Straight Up Baby Killers” Only 3 Months Ago	news	1
159	FAKE NEWS! MAXINE WATERS and JOY REID Make Outrageous Claims Against President Trump “Will make sure poor people aren’t getting too much from government”	news	1
160	TREY GOWDY Reminds Comey It’s 10 years in jail for Obama Officials Who LEAKED Info [Video]	news	1
161	MEET THE NASTY WOMEN Responsible For Promoting Hate And Intolerance On Nazi-Themed Trump Billboard [VIDEO]	news	1
162	TRAGIC! JOBLESS AMERICANS Forced to Train Their Foreign Replacements Speak Out: “This is not about skills…This is about costs” [Video]	news	1
163	BREAKING: STARBUCKS CEO To Step Down After Pledge To Hire 10,000 Refugees BACKFIRES	news	1
164	MEXICANS, Liberal Tourists NOT HAPPY! American Spring Breakers Chant “Build That Wall!” In Cancun, Mexico	news	1
165	TRUMP SUPPORTER FIGHTS BACK: Man Wearing “Make America Great Again” Hat Sues “The Happiest Hour” Bar For Refusing To Serve Him	news	1
166	TUCKER CARLSON Tells Liberal Guest: National Endowment for the Arts Is In Effect ‘Welfare for Rich, Liberal Elites’ [VIDEO]	news	1
167	MEALS ON WHEELS Shuts the Lyin’ Lefties Up With Truth After MoveOn.org’s Fake News [Video]	news	1
168	BRUTALIZED TRUMP SUPPORTERS WIN ONE! Federal Lawsuit Against City of San Jose Goes Forward [Video]	news	1
169	PULL BACK THE CURTAIN ON NPR AND PBS SALARIES! That’ll Convince You Trump’s Right to Cut, Cut, Cut!	news	1
170	SHAMEFUL: Video Shows How Liberal Media, Democrats, Entertainment Industry Coordinated HUGE LIE About Trump…Pushed It Out As Truth To Viewers [VIDEO]	news	1
171	BRITISH MP Nigel Evans SHAMES Anti-Trump Parliament: “He is going to go down in history as being roundly condemned for being the ONLY politician to keep his promises” [VIDEO]	news	1
172	LOL! Democrat Congressman Says Best Way To Fight “Fake News” Is To Watch MSNBC [VIDEO]	news	1
173	CNN’S FAREED ZAKARIA Busts Out a Profanity Filled Rant Against Trump [Video]	news	1
174	POLITICO DOWNGRADES AMERICA: Declares Germany’s “Open-Borders” Angela Merkel “Leader Of The Free World” In Anti-American Headline	news	1
175	THANKS OBAMA! Half Of Students In Top 700 School Districts Are From Immigrant Households…30% Are ILLEGAL ALIENS	news	1
176	YOU WON’T BELIEVE THIS: WATCH DONNA BRAZILE Defend Her Decision to Cheat by Leaking Questions to Hillary [Video]	news	1
177	Donna Brazile FINALLY Admits To Giving Hillary Questions Before Debate…Will Media Hold Crooked Hillary Accountable For Accepting Questions? [VIDEO]	news	1
178	NUCLEAR SHOWDOWN? NAVY SEAL TEAM That Killed Osama Bin Laden To Take Part In Military Drills Against N. Korea	news	1
179	BREAKING: Secret Service Laptop STOLEN From Vehicle In Bronx…You Won’t Believe What’s On It!	news	1
180	ILLEGAL? THUG WITH 30 PRIOR ARRESTS Steals Ambulance…Runs Over EMT Killing Mother of 5 [Video]	news	1
181	ETHIOPIAN MUSLIM Monster Deported From U.S. 10 Years After Performing “Clitorectomy” On Daughter With Scissors	news	1
182	LIBERAL BIGOT Destroyed by Legendary Democrat Alan Dershowitz in Discussion on Trump’s Travel Ban: “You’re lying through your teeth!” [Video]	news	1
183	DESPERATE DEMS? RUSSIAN BANK Reports Computer Hacks Designed To Make It Appear Trump Had Secret Relationship With Them	news	1
184	COMEDY GOLD! Bernie Sanders Has HILARIOUS Meltdown Over Repeal Of Obamacare: “If You Are Old..If You’re 55-60 Yrs Of Age And Don’t Have Health Insurance, You Will Die!” [VIDEO]	news	1
185	TRUMP TO END FUNDING For Taxpayer-Funded, Leftist Propaganda Public Broadcasting Corp.	news	1
186	YOU WON’T BELIEVE Who Rachel Maddow Blames for Her Trump Tax Dud [Video]	news	1
187	SUB-HUMANS: Surveillance VIDEO Captures 4 Black Males Brutally Beating 37-Yr Old White Male, Break His Bones, Steal His Wallet, After Offering To Help Pay For Their Meals	news	1
188	SPECTACULAR! Kid Rock Blows Up “Made In China” Grills In New Marketing Campaign For “American Badass Grill” [VIDEO]	news	1
189	HEY RACHEL MADDOW…While You’re On The Subject Of Taxes…What About Tax Evading Hosts At MSNBC?	news	1
190	MARKETING FIRM CEO Gives Job Applicants a ‘Snowflake Test’ [Video]	news	1
191	“FAIR SHARE” FAIL: Trump’s Taxes Show He Paid Almost TWICE The Rate Of Socialist Bernie Sanders Who Owns 3 Homes, Preaches Equality [VIDEO]	news	1
192	VAN JONES Explains Why Rachel Maddow’s “Don’t Actually Gotcha” Moment Turned Into “A Good Night For Donald Trump” [VIDEO]	news	1
193	TEXAS CONGRESSMAN Lets Screaming Leftist Agitator Have It: “You sir, SHUT UP!” [Video]	news	1
194	KIMBERLY GUILFOYLE: Serious Legal Issues Surround Rachel Maddow Report On Trump’s 2005 Tax Return [Video]	news	1
195	RACHEL MADDOW Tries To Embarrass Trump By Exposing 2005 Tax Returns…BACKFIRES Big-Time..Gets DESTROYED On Twitter!	news	1
196	MARK ZUCKERBERG Rides Shotgun with Dale Earnhardt, Jr: “HOLY SH*T!” [Video]	news	1
197	HILARIOUS! WHITE HOUSE Totally Punks Rabid Liberal MSNBC Host Rachel Maddow, After She Announces Bombshell Release Of Trump Taxes On Tonight’s Show	news	1
198	RACHEL MADDOW Announces Plan To Reveal Trump’s Tax Returns…Hey Maddow, you might want to rethink that felony.	news	1
199	HILARIOUS! Look Who LIBERAL Middlebury Professor Is Blaming After She Was Sent To Hospital By Angry Mob Of Leftist Students	news	1
200	JUDGE NAPOLITANO: THREE INTEL SOURCES Have Disclosed How Obama Spied on Trump [Video]	news	1
201	“SIGN OF THE TIMES”…MAN STREAMS His Own Police Chase On Facebook Live [Video]	news	1
202	WATTERS’ WORLD: “Do you have Obamacare?”…”How does it work?” [Video]	news	1
203	TRUMP TELLS State Department To Make CUT More Than 50% Of Funding To U.N.	news	1
204	No Ex-President In 100 Yrs Has Set Up A Shadow Government…Gone To Such Lengths To Undermine His Successor [VIDEO]	news	1
205	VIRAL VIDEO: UNIV OF WI Students Busted Agreeing With Discrimination Against Christians…But NOT OKAY With Discrimination Against Muslims	news	1
206	WATCH: ANTI-GUN RAPPER, Obama-Fanboy Snoop Dogg Uses Gun To Assassinate President Trump In New VIDEO	news	1
207	KELLYANNE CONWAY Tells “Haters” Reason She Looks So “Haggard”…SLAMS Fake “Pro-Women” Nancy Pelosi [VIDEO]	news	1
208	CNN INTERVIEW TURNS INTO SCREAMING MATCH When Activist Director Argues New “IRRELEVANT” Footage Of Michael Brown Is Game Changer [VIDEO]	news	1
209	LIBERAL SNOWFLAKE Ambushes Sean Spicer in Apple Store: “How does it feel working for a fascist?”…Instantly Becomes A Hero to The Left [Video]	news	1
210	HILARIOUS! VIDEO Shows Pattern Of CNN Cutting News Feed When Guests Share Opposing Views	news	1
211	WATCH: Wildly Popular, Outspoken Geert Wilders Is Being Called “The Dutch Trump”…Why His Plan To De-Islamize The Netherlands Is Resonating With Voters	news	1
212	FLASHBACK: Bill Clinton Had 93 Of 94 U.S. Attorneys FIRED IN ONE DAY…No Media Outrage [VIDEO]	news	1
